               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.018578,           0.0087743,           0.0039522,             0.95341,             0.96118,             0.97957,             0.77089,            0.012345,           0.0079393,          0.00023078,            0.006634,            0.006634,            0.006634
                  36,            0.018368,           0.0086461,           0.0038155,             0.95205,             0.96429,             0.97961,             0.77123,            0.012348,           0.0079348,          0.00022902,            0.006535,            0.006535,            0.006535
                  37,            0.018348,           0.0086659,           0.0038421,             0.95175,             0.96291,             0.97982,             0.77104,            0.012343,           0.0079286,          0.00022742,            0.006436,            0.006436,            0.006436
                  38,             0.01823,           0.0085377,           0.0035898,             0.95134,             0.96391,             0.97983,             0.77145,            0.012324,           0.0079235,          0.00022574,            0.006337,            0.006337,            0.006337
                  39,            0.018167,            0.008424,           0.0034714,             0.95072,             0.96506,             0.98005,             0.77172,             0.01231,           0.0079185,          0.00022453,            0.006238,            0.006238,            0.006238
                  40,            0.018194,            0.008471,           0.0036508,             0.95038,             0.96592,             0.97999,             0.77151,              0.0123,           0.0079069,          0.00022226,            0.006139,            0.006139,            0.006139
                  41,            0.018042,           0.0084395,           0.0036138,             0.95042,             0.96597,             0.98003,             0.77199,            0.012285,           0.0078977,          0.00022017,             0.00604,             0.00604,             0.00604
                  42,            0.017849,           0.0083371,            0.003372,             0.94946,             0.96658,             0.97961,             0.77227,            0.012263,           0.0078838,          0.00021806,            0.005941,            0.005941,            0.005941
                  43,            0.017897,           0.0084571,           0.0037299,             0.94953,             0.96693,             0.98029,              0.7724,             0.01225,           0.0078761,          0.00021642,            0.005842,            0.005842,            0.005842
                  44,            0.017706,           0.0083078,           0.0035315,             0.94987,             0.96699,             0.98034,             0.77252,            0.012233,           0.0078683,          0.00021535,            0.005743,            0.005743,            0.005743
                  45,            0.017827,           0.0083502,           0.0033317,             0.95003,             0.96633,             0.98027,             0.77282,            0.012221,           0.0078612,          0.00021426,            0.005644,            0.005644,            0.005644
                  46,            0.017661,           0.0082676,           0.0034956,             0.95265,             0.96325,             0.98015,             0.77303,            0.012204,           0.0078549,          0.00021278,            0.005545,            0.005545,            0.005545
                  47,            0.017729,           0.0082721,            0.003453,             0.95023,             0.96582,             0.98022,             0.77358,            0.012187,           0.0078479,          0.00021154,            0.005446,            0.005446,            0.005446
                  48,            0.017497,           0.0082887,           0.0033597,             0.94971,              0.9661,             0.98014,             0.77369,            0.012173,           0.0078405,          0.00021043,            0.005347,            0.005347,            0.005347
                  49,            0.017366,           0.0081646,           0.0031667,             0.95214,             0.96439,             0.98034,             0.77404,            0.012154,           0.0078339,          0.00020937,            0.005248,            0.005248,            0.005248
                  50,             0.01711,           0.0081332,           0.0032097,              0.9524,             0.96367,             0.98051,             0.77467,            0.012144,           0.0078317,          0.00020786,            0.005149,            0.005149,            0.005149
                  51,            0.017186,           0.0080856,           0.0031572,             0.95249,              0.9631,             0.98092,             0.77465,            0.012131,           0.0078265,          0.00020572,             0.00505,             0.00505,             0.00505
                  52,            0.017155,           0.0080703,           0.0029987,             0.95342,             0.96259,             0.98085,             0.77458,            0.012108,           0.0078212,          0.00020407,            0.004951,            0.004951,            0.004951
